index,project name,street name,tenure,no. of units,price,nett price,areasq,type of area,floor level,unit price psf,date of sale,market segment_CCR,market segment_OCR,market segment_RCR,postal district_2.0,postal district_3.0,postal district_4.0,postal district_5.0,postal district_8.0,postal district_9.0,postal district_10.0,postal district_11.0,postal district_12.0,postal district_13.0,postal district_14.0,postal district_15.0,postal district_16.0,postal district_17.0,postal district_18.0,postal district_19.0,postal district_20.0,postal district_21.0,postal district_22.0,postal district_23.0,postal district_25.0,postal district_26.0,postal district_27.0,postal district_28.0,type_Detached,type_Semi-detached,type_Terrace,type of sale_New Sale,type of sale_Resale,type of sale_Sub Sale
1704,LANDED HOUSING DEVELOPMENT,GOLDHILL RISE,999,1.0,4850000.0,-,2262.0,Land,-,2145.0,Sep-2019,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1705,SHAMROCK PARK,NAMLY PLACE,999,1.0,4850000.0,-,2488.0,Land,-,1950.0,Nov-2017,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1706,PEAKVIEW ESTATE,JALAN PARI KIKIS,999,1.0,4850000.0,-,3299.0,Land,-,1470.0,Sep-2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1707,LANDED HOUSING DEVELOPMENT,PONGGOL SEVENTEENTH AVENUE,999,1.0,4850000.0,-,6160.0,Land,-,787.0,Dec-2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1708,CASHEW ESTATE,CASHEW TERRACE,860,1.0,4850000.0,-,4581.0,Land,-,1059.0,Jul-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
1709,LANDED HOUSING DEVELOPMENT,GREENBANK PARK,999,1.0,4850000.0,-,4145.0,Land,-,1170.0,Jul-2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
1710,THOMSON HILLS ESTATE,THOMSON GREEN,999,1.0,4850000.0,-,4114.0,Land,-,1179.0,Jul-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
1711,SEMBAWANG HILLS ESTATE,JALAN MENGKUDU,999,1.0,4850000.0,-,2738.0,Land,-,1771.0,Jun-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
1712,PICARDY GARDENS,JALAN PARI BURONG,999,1.0,4850000.0,-,3552.0,Land,-,1365.0,Sep-2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1713,LANDED HOUSING DEVELOPMENT,JALAN BULOH PERINDU,999,1.0,4849888.0,-,3739.0,Land,-,1297.0,Jun-2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1714,LANDED HOUSING DEVELOPMENT,RICHARDS AVENUE,999,1.0,4838000.0,-,6313.0,Land,-,766.0,Oct-2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1715,SERANGOON GARDEN ESTATE,BERWICK DRIVE,933,1.0,4838000.0,-,2649.0,Land,-,1826.0,Apr-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1716,SELETAR HILLS ESTATE,JALAN KECHUBONG,857,1.0,4835000.0,-,6365.0,Land,-,760.0,Feb-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
1717,LANDED HOUSING DEVELOPMENT,BEDOK LANE,999,1.0,4830000.0,-,3897.0,Land,-,1240.0,Jun-2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1718,SERANGOON GARDEN ESTATE,BLANDFORD DRIVE,933,1.0,4830000.0,-,4507.0,Land,-,1072.0,May-2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1719,LANDED HOUSING DEVELOPMENT,MEYER ROAD,999,1.0,4830000.0,-,2965.0,Land,-,1629.0,Jul-2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1720,LANDED HOUSING DEVELOPMENT,LORONG J TELOK KURAU,999,1.0,4828000.0,-,4240.0,Land,-,1139.0,Nov-2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1721,SELETAR HILLS ESTATE,JALAN RENGAS,857,1.0,4825000.0,-,3673.0,Land,-,1314.0,Jun-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
1722,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,91,1.0,4824000.0,-,2852.0,Land,-,1691.0,Mar-2018,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1723,SERANGOON GARDEN ESTATE,BURGHLEY DRIVE,934,1.0,4820000.0,-,2806.0,Land,-,1718.0,Jul-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1724,SERANGOON GARDEN ESTATE,TAVISTOCK AVENUE,932,1.0,4820000.0,-,2764.0,Land,-,1744.0,May-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1725,OPERA ESTATE,CARMEN STREET,999,1.0,4820000.0,-,3003.0,Land,-,1605.0,Oct-2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1726,HOOVER PARK,LORONG PISANG BATU,999,1.0,4820000.0,-,2975.0,Land,-,1620.0,Jul-2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
1727,EAST VIEW GARDEN,JALAN KUANG,999,1.0,4818000.0,-,3813.0,Land,-,1264.0,Jan-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1728,SERANGOON GARDEN ESTATE,BERWICK DRIVE,933,1.0,4818000.0,-,2650.0,Land,-,1818.0,Dec-2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1729,LANDED HOUSING DEVELOPMENT,FABER DRIVE,999,1.0,4812000.0,-,5133.0,Land,-,937.0,Jul-2017,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1730,LANDED HOUSING DEVELOPMENT,YUK TONG AVENUE,999,1.0,4805000.0,-,3206.0,Land,-,1499.0,Sep-2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
1731,KISMIS RESIDENCES,ENG KONG TERRACE,999,1.0,4800000.0,-,2153.0,Land,-,2230.0,Apr-2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
1732,LANDED HOUSING DEVELOPMENT,FABER GREEN,999,1.0,4800000.0,-,3539.0,Land,-,1356.0,Jul-2021,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1733,SHAMROCK PARK,NAMLY PLACE,999,1.0,4800000.0,-,1798.0,Land,-,2670.0,Jun-2018,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1734,LANDED HOUSING DEVELOPMENT,MING TECK PARK,854,1.0,4800000.0,-,1872.0,Land,-,2564.0,May-2021,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1735,EVERGREEN GARDEN,EVERGREEN AVENUE,999,1.0,4800000.0,-,6034.0,Land,-,795.0,Oct-2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1736,LANDED HOUSING DEVELOPMENT,DUNEARN ROAD,999,1.0,4800000.0,-,3102.0,Land,-,1547.0,Aug-2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
1737,LANDED HOUSING DEVELOPMENT,MARLENE AVENUE,999,1.0,4800000.0,-,3723.0,Land,-,1289.0,Oct-2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1738,LANDED HOUSING DEVELOPMENT,NAMLY AVENUE,999,1.0,4800000.0,-,3225.0,Land,-,1488.0,Jan-2017,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1739,LUCKY PARK,LEMON AVENUE,999,1.0,4800000.0,-,3413.0,Land,-,1406.0,Sep-2018,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1740,PICARDY GARDENS,JALAN PARI BURONG,999,1.0,4800000.0,-,4334.0,Land,-,1108.0,Feb-2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1741,LANDED HOUSING DEVELOPMENT,TOH TUCK DRIVE,863,1.0,4800000.0,-,3607.0,Land,-,1331.0,Sep-2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
1742,SEMBAWANG HILLS ESTATE,JALAN LEBAN,999,1.0,4800000.0,-,3320.0,Land,-,1446.0,May-2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
1743,LANDED HOUSING DEVELOPMENT,JALAN NOVENA UTARA,999,1.0,4800000.0,-,3148.0,Land,-,1525.0,Sep-2017,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1744,SELETAR HILLS ESTATE,NIM GREEN,857,1.0,4800000.0,-,4054.0,Land,-,1184.0,Apr-2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
1745,WEST COAST GARDENS,WEST COAST PARK,863,1.0,4800000.0,-,4802.0,Land,-,1000.0,Nov-2019,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1746,LANDED HOUSING DEVELOPMENT,LORONG M TELOK KURAU,999,1.0,4800000.0,-,5173.0,Land,-,928.0,Sep-2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1747,LANDED HOUSING DEVELOPMENT,JALAN JAMBU AYER,999,1.0,4800000.0,-,3051.0,Land,-,1574.0,Mar-2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
1748,LANDED HOUSING DEVELOPMENT,JALAN ANGIN LAUT,999,1.0,4800000.0,-,6929.0,Land,-,693.0,Jun-2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1749,LANDED HOUSING DEVELOPMENT,TOH YI ROAD,999,1.0,4800000.0,-,4293.0,Land,-,1118.0,Feb-2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
1750,FUDU PARK,LENTOR TERRACE,999,1.0,4800000.0,-,3767.0,Land,-,1274.0,Aug-2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
1751,SEMBAWANG HILLS ESTATE,JALAN TARUM,999,1.0,4800000.0,-,4368.0,Land,-,1099.0,Jul-2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
1752,LENTOR VILLAS,LENTOR CRESCENT,999,1.0,4800000.0,-,4965.0,Land,-,967.0,Oct-2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
1753,SERANGOON GARDEN ESTATE,CARISBROOKE GROVE,934,1.0,4800000.0,-,3151.0,Land,-,1524.0,Oct-2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1754,LANDED HOUSING DEVELOPMENT,LORONG PISANG BATU,999,1.0,4800000.0,-,2959.0,Land,-,1622.0,Apr-2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
1755,LANDED HOUSING DEVELOPMENT,WOLSKEL ROAD,999,1.0,4800000.0,-,3652.0,Land,-,1314.0,Sep-2019,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1756,SERANGOON GARDEN ESTATE,TAVISTOCK AVENUE,932,1.0,4800000.0,-,2756.0,Land,-,1742.0,Jun-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1757,LANDED HOUSING DEVELOPMENT,LUCKY HEIGHTS,999,1.0,4800000.0,-,3295.0,Land,-,1457.0,Feb-2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1758,HEETON PARK,THONG SOON ROAD,999,1.0,4800000.0,-,6461.0,Land,-,743.0,Apr-2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
1759,EAST COAST HILL,SENNETT AVENUE,999,1.0,4800000.0,-,3971.0,Land,-,1209.0,Apr-2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1760,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,91,1.0,4800000.0,-,2863.0,Land,-,1676.0,Aug-2017,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1761,LANDED HOUSING DEVELOPMENT,CHUN TIN ROAD,999,1.0,4800000.0,-,2406.0,Land,-,1995.0,Sep-2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
1762,LANDED HOUSING DEVELOPMENT,POOLE ROAD,999,1.0,4800000.0,-,3823.0,Land,-,1255.0,Sep-2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1763,THE GREENWOOD,GREENWOOD AVENUE,999,1.0,4800000.0,-,1634.0,Land,-,2938.0,Apr-2021,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1764,FRANKEL ESTATE,BOWMONT GARDENS,999,1.0,4800000.0,-,4581.0,Land,-,1048.0,Oct-2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1765,TOH ESTATE,TOH HEIGHTS,999,1.0,4800000.0,-,6595.0,Land,-,728.0,Aug-2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1766,TOH TUCK HILL,ENG KONG TERRACE,999,1.0,4800000.0,-,3624.0,Land,-,1324.0,Apr-2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
1767,LANDED HOUSING DEVELOPMENT,WOLSKEL ROAD,999,1.0,4800000.0,-,3621.0,Land,-,1326.0,Sep-2019,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1768,LANDED HOUSING DEVELOPMENT,TOH CRESCENT,999,1.0,4800000.0,-,6537.0,Land,-,734.0,Dec-2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1769,LANDED HOUSING DEVELOPMENT,LORNIE ROAD,999,1.0,4800000.0,-,4289.0,Land,-,1119.0,Jul-2018,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1770,LANDED HOUSING DEVELOPMENT,LYNDHURST ROAD,999,1.0,4800000.0,-,3224.0,Land,-,1489.0,Jul-2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1771,LANDED HOUSING DEVELOPMENT,JERVOIS ROAD,999,1.0,4800000.0,-,2268.0,Land,-,2116.0,Sep-2017,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1772,LANDED HOUSING DEVELOPMENT,CAMBRIDGE ROAD,999,1.0,4800000.0,-,4146.0,Land,-,1158.0,Mar-2021,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1773,SELETAR HILLS ESTATE,JALAN REDOP,857,1.0,4800000.0,-,3585.0,Land,-,1339.0,Jul-2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
1774,SELETAR HILLS ESTATE,JALAN KECHUBONG,999,1.0,4800000.0,-,5195.0,Land,-,924.0,Feb-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
1775,LANDED HOUSING DEVELOPMENT,CHUAN GARDEN,999,1.0,4788800.0,-,4736.0,Land,-,1011.0,Jan-2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1776,HOCK SWEE HILL,BEGONIA TERRACE,999,1.0,4788000.0,-,3444.0,Land,-,1390.0,Jun-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
1777,LANDED HOUSING DEVELOPMENT,LORONG G TELOK KURAU,999,1.0,4780000.0,-,3102.0,Land,-,1541.0,Sep-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1778,SELETAR HILLS ESTATE,JALAN JITONG,999,1.0,4780000.0,-,3150.0,Land,-,1518.0,Oct-2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
1779,SERANGOON GARDEN ESTATE,LICHFIELD ROAD,931,1.0,4780000.0,-,3033.0,Land,-,1576.0,Apr-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1780,ISLAND GARDENS,ISLAND GARDENS WALK,999,1.0,4780000.0,-,4561.0,Land,-,1048.0,Nov-2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
1781,LANDED HOUSING DEVELOPMENT,BEDOK GARDEN,999,1.0,4780000.0,-,5778.0,Land,-,827.0,May-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1782,LANDED HOUSING DEVELOPMENT,STILL ROAD,999,1.0,4780000.0,-,3623.0,Land,-,1319.0,Jun-2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1783,BEDOKVILLE,JALAN LIMAU BALI,999,1.0,4780000.0,-,3527.0,Land,-,1355.0,Dec-2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1784,RAYA GARDEN,JALAN KELICHAP,999,1.0,4780000.0,-,5461.0,Land,-,875.0,Jun-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1785,HENRY PARK,GROVE AVENUE,999,1.0,4780000.0,-,2597.0,Land,-,1840.0,May-2019,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1786,LANDED HOUSING DEVELOPMENT,JALAN JAMBU MAWAR,853,1.0,4770000.0,-,2998.0,Land,-,1591.0,Oct-2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
1787,LANDED HOUSING DEVELOPMENT,FIRST AVENUE,999,1.0,4770000.0,-,2146.0,Land,-,2222.0,Aug-2017,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1788,ENG AUN PARK,JALAN NOVENA TIMOR,999,1.0,4770000.0,-,2538.0,Land,-,1879.0,Dec-2020,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1789,SERANGOON GARDEN ESTATE,BLOXHOME DRIVE,933,1.0,4768000.0,-,2800.0,Land,-,1703.0,Oct-2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1790,LANDED HOUSING DEVELOPMENT,JALAN SENANG,999,1.0,4760000.0,-,5000.0,Land,-,952.0,Nov-2017,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1791,CHENG SOON GARDEN,CHENG SOON GARDEN,999,1.0,4760000.0,-,3906.0,Land,-,1219.0,Aug-2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
1792,CLEMENTI GARDENS,CLEMENTI CRESCENT,999,1.0,4760000.0,-,3372.0,Land,-,1411.0,Mar-2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
1793,LANDED HOUSING DEVELOPMENT,JALAN TAMBUR,999,1.0,4751888.0,-,4278.0,Land,-,1111.0,Jul-2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
1794,BLAIR PLAIN CONSERVATION AREA,BLAIR ROAD,999,1.0,4750000.0,-,1625.0,Land,-,2922.0,Oct-2017,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1795,LANDED HOUSING DEVELOPMENT,JALAN RAYA,999,1.0,4750000.0,-,4329.0,Land,-,1097.0,Nov-2019,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1796,KISMIS RESIDENCES,UPPER TOH TUCK TERRACE,999,1.0,4750000.0,-,2153.0,Land,-,2206.0,Apr-2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
1797,LANDED HOUSING DEVELOPMENT,CHUAN GARDEN,999,1.0,4750000.0,-,5834.0,Land,-,814.0,Jan-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1798,SHANGRI-LA PARK,SHANGRI-LA CLOSE,999,1.0,4750000.0,-,3295.0,Land,-,1442.0,Dec-2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
1799,MING TECK PARK,MING TECK PARK,854,1.0,4750000.0,-,1935.0,Land,-,2454.0,Oct-2021,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1800,LANDED HOUSING DEVELOPMENT,SENNETT AVENUE,999,1.0,4750000.0,-,4013.0,Land,-,1184.0,Jan-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1801,LANDED HOUSING DEVELOPMENT,TOH CLOSE,999,1.0,4750000.0,-,6000.0,Land,-,792.0,Aug-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1802,LANDED HOUSING DEVELOPMENT,JALAN TARI PAYONG,857,1.0,4750000.0,-,7060.0,Land,-,673.0,Jan-2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
1803,LANDED HOUSING DEVELOPMENT,LILY AVENUE,999,1.0,4750000.0,-,4593.0,Land,-,1034.0,Aug-2020,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1804,LANDED HOUSING DEVELOPMENT,ZEHNDER ROAD,999,1.0,4750000.0,-,3380.0,Land,-,1405.0,Jun-2018,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1805,SARACA GARDENS,SARACA VIEW,999,1.0,4750000.0,-,5087.0,Land,-,934.0,Oct-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
1806,CASHEW VILLAS,CASHEW CRESCENT,861,1.0,4750000.0,-,2949.0,Land,-,1611.0,Jul-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
