index,project name,street name,tenure,type of sale,no. of units,price,nett price,areasq,type of area,floor level,unit price psf,date of sale,market segment_CCR,market segment_OCR,market segment_RCR,postal district_2.0,postal district_3.0,postal district_4.0,postal district_5.0,postal district_8.0,postal district_9.0,postal district_10.0,postal district_11.0,postal district_12.0,postal district_13.0,postal district_14.0,postal district_15.0,postal district_16.0,postal district_17.0,postal district_18.0,postal district_19.0,postal district_20.0,postal district_21.0,postal district_22.0,postal district_23.0,postal district_25.0,postal district_26.0,postal district_27.0,postal district_28.0,type_Detached,type_Semi-detached,type_Terrace
2354,SERANGOON GARDEN ESTATE,CONISTON GROVE,934,Resale,1.0,2750888.0,-,1706.0,Land,-,1612.0,Nov-2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2355,NANYANG PARK,CHUAN HOE AVENUE,859,Resale,1.0,3780000.0,-,2347.0,Land,-,1611.0,Jun-2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2356,PAVILION PARK,PAVILION CIRCLE,999,Resale,1.0,2708000.0,-,1681.0,Land,-,1611.0,May-2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2357,CASHEW VILLAS,CASHEW CRESCENT,861,Resale,1.0,4750000.0,-,2949.0,Land,-,1611.0,Jul-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2358,LANDED HOUSING DEVELOPMENT,CHIAP GUAN AVENUE,854,Resale,1.0,3850000.0,-,2390.0,Land,-,1611.0,Mar-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2359,LANDED HOUSING DEVELOPMENT,HOLLAND GROVE ROAD,863,Resale,1.0,3900000.0,-,2421.0,Land,-,1611.0,Mar-2018,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2360,LANDED HOUSING DEVELOPMENT,SENNETT AVENUE,999,Resale,1.0,5800000.0,-,3601.0,Land,-,1611.0,Sep-2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2361,LANDED HOUSING DEVELOPMENT,GALLOP PARK ROAD,999,Resale,1.0,24150000.0,-,15004.0,Land,-,1610.0,Nov-2020,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2362,THE SPRINGSIDE,SPRINGSIDE CRESCENT,999,Resale,1.0,2600000.0,-,1615.0,Land,-,1610.0,Oct-2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2363,LANDED HOUSING DEVELOPMENT,JALAN KATHI,999,Resale,1.0,2600000.0,-,1615.0,Land,-,1610.0,Feb-2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2364,MERA TERRACE,SEAGULL WALK,999,Resale,1.0,2600000.0,-,1615.0,Land,-,1610.0,Sep-2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2365,HONG KONG PARK,SIAN TUAN AVENUE,857,Resale,1.0,7600000.0,-,4720.0,Land,-,1610.0,Dec-2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2366,NIM COLLECTION,NIM RISE,94,New Sale,1.0,2600000.0,-,1615.0,Land,-,1610.0,Mar-2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2367,LANDED HOUSING DEVELOPMENT,PEARL ISLAND,86,Resale,1.0,11288000.0,-,7011.0,Land,-,1610.0,Jul-2017,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2368,LANDED HOUSING DEVELOPMENT,OEI TIONG HAM PARK,999,Resale,1.0,16200000.0,-,10061.0,Land,-,1610.0,May-2020,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2369,LANDED HOUSING DEVELOPMENT,LORONG SELANGAT,999,Sub Sale,1.0,4300000.0,-,2672.0,Land,-,1610.0,Jan-2020,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2370,SEA BREEZE TERRACE,SEA BREEZE AVENUE,999,Resale,1.0,2800000.0,-,1739.0,Land,-,1610.0,Mar-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2371,BANYAN VILLAS,LENTOR PLAIN,999,Resale,1.0,2600000.0,-,1615.0,Land,-,1610.0,Feb-2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2372,MIMOSA TERRACE,MIMOSA PLACE,999,Resale,1.0,2600000.0,-,1615.0,Land,-,1610.0,Sep-2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2373,SERANGOON GARDEN ESTATE,HUDDINGTON AVENUE,932,Resale,1.0,3480000.0,-,2162.0,Land,-,1609.0,Nov-2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2374,LANDED HOUSING DEVELOPMENT,DUNSFOLD DRIVE,999,Sub Sale,1.0,7500000.0,-,4662.0,Land,-,1609.0,Dec-2019,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2375,CLOVER PARK,CLOVER RISE,999,Resale,1.0,2900000.0,-,1802.0,Land,-,1609.0,Nov-2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2376,LANDED HOUSING DEVELOPMENT,LORONG MYDIN,999,Resale,1.0,7460000.0,-,4637.0,Land,-,1609.0,Jul-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2377,LANDED HOUSING DEVELOPMENT,POH HUAT ROAD,861,Resale,1.0,2730000.0,-,1696.0,Land,-,1609.0,Jul-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2378,LANDED HOUSING DEVELOPMENT,SOO CHOW RISE,999,Resale,1.0,2800000.0,-,1742.0,Land,-,1608.0,Mar-2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2379,SENNETT ESTATE,PUAY HEE AVENUE,999,Resale,1.0,3900000.0,-,2425.0,Land,-,1608.0,Apr-2020,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2380,OASIS @ MULBERRY,CHEMPAKA AVENUE,999,Resale,1.0,3338888.0,-,2076.0,Land,-,1608.0,Sep-2017,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2381,LANDED HOUSING DEVELOPMENT,CHATSWORTH ROAD,999,Resale,1.0,17000000.0,-,10571.0,Land,-,1608.0,Oct-2020,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2382,THE SPRINGSIDE,SPRINGSIDE VIEW,999,Resale,1.0,2600000.0,-,1617.0,Land,-,1608.0,Nov-2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2383,SIGLAP PARK,WOO MON CHEW ROAD,999,Resale,1.0,2700000.0,-,1679.0,Land,-,1608.0,Jul-2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2384,CANARY PARK,JALAN SIMPANG BEDOK,999,Resale,1.0,3200000.0,-,1990.0,Land,-,1608.0,Jul-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2385,OPERA ESTATE,TERANG BULAN AVENUE,999,Resale,1.0,2842500.0,-,1769.0,Land,-,1607.0,May-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2386,LANDED HOUSING DEVELOPMENT,SECOND STREET,999,Resale,1.0,2700000.0,-,1680.0,Land,-,1607.0,Jan-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2387,LUXUS HILLS,LUXUS HILL DRIVE,857,Resale,1.0,3762000.0,-,2341.0,Land,-,1607.0,Aug-2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
2388,MELODY VILLAS,LENTOR WALK,999,Resale,1.0,2880000.0,-,1792.0,Land,-,1607.0,May-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2389,LANDED HOUSING DEVELOPMENT,KANG CHOO BIN ROAD,861,Resale,1.0,4300000.0,-,2678.0,Land,-,1606.0,Aug-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2390,LANDED HOUSING DEVELOPMENT,HILLSIDE DRIVE,854,Resale,1.0,2400000.0,-,1494.0,Land,-,1606.0,Mar-2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2391,LANDED HOUSING DEVELOPMENT,JALAN LAPANG,999,Resale,1.0,3820000.0,-,2379.0,Land,-,1606.0,Jun-2018,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2392,WINDSOR PARK ESTATE,JUPITER ROAD,999,Resale,1.0,3280000.0,-,2042.0,Land,-,1606.0,Feb-2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2393,LANDED HOUSING DEVELOPMENT,LIM TAI SEE WALK,999,Resale,1.0,5580000.0,-,3476.0,Land,-,1605.0,May-2021,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2394,LANDED HOUSING DEVELOPMENT,JALAN PINTAU,999,Resale,1.0,1420000.0,-,885.0,Land,-,1605.0,Mar-2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2395,OPERA ESTATE,CARMEN STREET,999,Resale,1.0,4820000.0,-,3003.0,Land,-,1605.0,Oct-2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2396,LANDED HOUSING DEVELOPMENT,JALAN MELOR,999,New Sale,1.0,3850000.0,-,2398.0,Land,-,1605.0,Aug-2019,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2397,LANDED HOUSING DEVELOPMENT,MEYER ROAD,999,Resale,1.0,6500000.0,-,4050.0,Land,-,1605.0,Mar-2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2398,LANDED HOUSING DEVELOPMENT,PARKSTONE ROAD,999,Resale,1.0,5888000.0,-,3668.0,Land,-,1605.0,Jun-2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2399,LANDED HOUSING DEVELOPMENT,JALAN BAIDURI,999,Resale,1.0,3800000.0,-,2368.0,Land,-,1605.0,Mar-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2400,LANDED HOUSING DEVELOPMENT,VANDA AVENUE,999,Resale,1.0,11600000.0,-,7227.0,Land,-,1605.0,Nov-2017,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2401,LANDED HOUSING DEVELOPMENT,JALAN TARI ZAPIN,857,Resale,1.0,4000000.0,-,2494.0,Land,-,1604.0,Sep-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2402,CHENG SOON GARDEN,KISMIS AVENUE,999,Resale,1.0,3350000.0,-,2088.0,Land,-,1604.0,Oct-2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2403,LANDED HOUSING DEVELOPMENT,TREVOSE CRESCENT,999,Resale,1.0,12170000.0,-,7589.0,Land,-,1604.0,Mar-2019,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2404,LANDED HOUSING DEVELOPMENT,LORONG L TELOK KURAU,999,Resale,1.0,3668000.0,-,2287.0,Land,-,1604.0,Jan-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2405,LANDED HOUSING DEVELOPMENT,SERAYA ROAD,999,Resale,1.0,2850000.0,-,1777.0,Land,-,1604.0,Aug-2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2406,FRANKEL ESTATE,DUNBAR WALK,999,Resale,1.0,2680000.0,-,1671.0,Land,-,1604.0,May-2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2407,LANDED HOUSING DEVELOPMENT,LORONG 108 CHANGI,999,Resale,1.0,3850000.0,-,2401.0,Land,-,1603.0,Feb-2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2408,ROSEDALE,CLEMENTI ROAD,999,Resale,1.0,3250000.0,-,2028.0,Land,-,1603.0,Nov-2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2409,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,91,New Sale,1.0,4280000.0,-,2669.0,Land,-,1603.0,Aug-2017,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2410,FUDU PARK,FUDU PARK,999,Resale,1.0,3000000.0,-,1872.0,Land,-,1603.0,Jul-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2411,LANDED HOUSING DEVELOPMENT,JALAN SELAMAT,999,Resale,1.0,8000000.0,-,4989.0,Land,-,1603.0,Apr-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2412,LANDED HOUSING DEVELOPMENT,ALLAMANDA GROVE,999,Resale,1.0,7250000.0,-,4522.0,Land,-,1603.0,May-2018,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2413,LANDED HOUSING DEVELOPMENT,RECREATION ROAD,999,Resale,1.0,3200000.0,-,1996.0,Land,-,1603.0,Nov-2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2414,LANDED HOUSING DEVELOPMENT,MARGOLIOUTH ROAD,999,Resale,1.0,9750000.0,-,6082.0,Land,-,1603.0,Jan-2019,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2415,LANDED HOUSING DEVELOPMENT,ROBIN CLOSE,999,Resale,1.0,4850000.0,-,3025.0,Land,-,1603.0,Jul-2020,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2416,SELETAR HILLS ESTATE,JALAN JARAK,857,Resale,1.0,3080000.0,-,1921.0,Land,-,1603.0,Jul-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2417,JADE VINE GARDENS,KANG CHOO BIN WALK,861,Resale,1.0,4608000.0,-,2877.0,Land,-,1602.0,Feb-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2418,SELETAR HILLS ESTATE,SELETAR HILLS DRIVE,857,Resale,1.0,6800000.0,-,4245.0,Land,-,1602.0,Oct-2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2419,RICHMOND VILLE,LIMAU GARDEN,999,Resale,1.0,3560000.0,-,2222.0,Land,-,1602.0,Mar-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2420,SEMBAWANG HILLS ESTATE,JALAN CHENGAM,999,Resale,1.0,4980000.0,-,3109.0,Land,-,1602.0,Sep-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2421,TAI HWAN PARK,TAI HWAN DRIVE,999,Resale,1.0,2700000.0,-,1687.0,Land,-,1601.0,Nov-2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2422,LANDED HOUSING DEVELOPMENT,LORONG J TELOK KURAU,999,Resale,1.0,2650000.0,-,1656.0,Land,-,1601.0,Mar-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2423,LANDED HOUSING DEVELOPMENT,CHARLTON ROAD,999,Resale,1.0,3450000.0,-,2155.0,Land,-,1601.0,Jan-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2424,HENRY PARK,GROVE DRIVE,999,Resale,1.0,3400000.0,-,2124.0,Land,-,1601.0,Mar-2021,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2425,LANDED HOUSING DEVELOPMENT,HOLLAND GROVE VIEW,999,Resale,1.0,10880000.0,-,6795.0,Land,-,1601.0,May-2017,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2426,LANDED HOUSING DEVELOPMENT,VICTORIA PARK ROAD,999,Resale,1.0,6050000.0,-,3780.0,Land,-,1600.0,Mar-2021,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2427,LANDED HOUSING DEVELOPMENT,MULBERRY AVENUE,999,Resale,1.0,2400266.0,-,1501.0,Land,-,1600.0,Sep-2021,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2428,LANDED HOUSING DEVELOPMENT,LORONG 28 GEYLANG/GUILLEMARD ROAD,999,Resale,5.0,20546455.0,-,12839.0,Land,-,1600.0,Apr-2018,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2429,TUDOR VIEW,TUDOR CLOSE,999,Resale,1.0,5400000.0,-,3375.0,Land,-,1600.0,Nov-2016,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2430,PAVILION PARK,PAVILION PLACE,999,Resale,1.0,3750000.0,-,2343.0,Land,-,1600.0,Sep-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2431,LANDED HOUSING DEVELOPMENT,FIRST STREET,999,Resale,1.0,2625600.0,-,1642.0,Land,-,1600.0,Feb-2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2432,LANDED HOUSING DEVELOPMENT,PALM DRIVE,999,Resale,1.0,5450000.0,-,3406.0,Land,-,1600.0,Jun-2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2433,SOUTH UNION PARK,ELITE PARK AVENUE,999,Resale,1.0,4138000.0,-,2587.0,Land,-,1600.0,Dec-2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2434,LANDED HOUSING DEVELOPMENT,CARPMAEL ROAD,999,Resale,1.0,3300000.0,-,2062.0,Land,-,1600.0,Jul-2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2435,LANDED HOUSING DEVELOPMENT,ELM AVENUE,999,Resale,1.0,6100000.0,-,3812.0,Land,-,1600.0,Jan-2021,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2436,MING TECK PARK,MING TECK PARK,854,Resale,1.0,5300000.0,-,3314.0,Land,-,1599.0,Dec-2016,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2437,THOMSON GARDEN ESTATE,JALAN PINTAU,999,Resale,1.0,1800000.0,-,1126.0,Land,-,1599.0,Nov-2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2438,LANDED HOUSING DEVELOPMENT,SWANAGE ROAD,999,Resale,1.0,2900000.0,-,1814.0,Land,-,1599.0,Sep-2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2439,FRANKEL ESTATE,SIGLAP PLAIN,999,Resale,1.0,9600000.0,-,6003.0,Land,-,1599.0,Aug-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2440,LANDED HOUSING DEVELOPMENT,JALAN AMPANG,999,Resale,1.0,5200000.0,-,3252.0,Land,-,1599.0,Aug-2018,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2441,CAPITOL PARK,JALAN SEJARAH,999,Resale,1.0,5736000.0,-,3587.0,Land,-,1599.0,May-2018,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2442,LANDED HOUSING DEVELOPMENT,GAMBIR WALK,999,Resale,1.0,5380000.0,-,3365.0,Land,-,1599.0,Sep-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2443,SOUTH UNION PARK,ELITE PARK AVENUE,999,Resale,1.0,2600000.0,-,1626.0,Land,-,1599.0,Jun-2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2444,LIRIA TERRACE,MARIAM WALK,999,Resale,1.0,2600000.0,-,1628.0,Land,-,1598.0,Aug-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2445,LANDED HOUSING DEVELOPMENT,MEYER ROAD,999,Resale,1.0,6500000.0,-,4067.0,Land,-,1598.0,Dec-2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2446,VENTANA VILLAS,PASIR PANJANG HILL,999,Resale,1.0,3725000.0,-,2331.0,Land,-,1598.0,Dec-2020,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2447,SERANGOON GARDEN ESTATE,PORTCHESTER AVENUE,931,Resale,1.0,3400000.0,-,2128.0,Land,-,1598.0,Jun-2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2448,THE SPRINGSIDE,SPRINGSIDE CRESCENT,999,Resale,1.0,2580000.0,-,1615.0,Land,-,1598.0,Nov-2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2449,LANDED HOUSING DEVELOPMENT,DALKEITH ROAD,999,Resale,1.0,18000000.0,-,11263.0,Land,-,1598.0,Nov-2019,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2450,LANDED HOUSING DEVELOPMENT,JALAN KERIS,999,Resale,1.0,3000000.0,-,1877.0,Land,-,1598.0,Feb-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2451,LANDED HOUSING DEVELOPMENT,JALAN NIPAH,999,Resale,1.0,6500000.0,-,4069.0,Land,-,1598.0,Nov-2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2452,SELETAR HILLS ESTATE,JALAN SELASEH,857,Resale,1.0,2600000.0,-,1628.0,Land,-,1598.0,Sep-2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2453,LANDED HOUSING DEVELOPMENT,PARK VALE,852,Resale,1.0,12488888.0,-,7820.0,Land,-,1597.0,Feb-2021,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2454,LANDED HOUSING DEVELOPMENT,HAIG LANE,999,Resale,1.0,6200000.0,-,3881.0,Land,-,1597.0,Oct-2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2455,THE SPRINGSIDE,SPRINGSIDE LINK,999,Resale,1.0,2950000.0,-,1847.0,Land,-,1597.0,May-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2456,SERANGOON GARDEN ESTATE,HYTHE ROAD,933,Resale,1.0,3450000.0,-,2161.0,Land,-,1596.0,Jul-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2457,OPERA ESTATE,MARIA AVENUE,999,Resale,1.0,4950000.0,-,3102.0,Land,-,1596.0,Aug-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2458,LANDED HOUSING DEVELOPMENT,NAMLY RISE,999,Resale,1.0,5120000.0,-,3209.0,Land,-,1596.0,Mar-2020,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
