index,project name,street name,type,tenure,postal district,market segment,type of sale,no. of units,price,nett price,areasq,type of area,floor level,unit price psf,date of sale
2452,LANDED HOUSING DEVELOPMENT,LORONG MARZUKI,Terrace,999,14.0,OCR,Resale,1.0,4350000.0,-,1792.0,Land,-,2427.0,Jun-2021
2453,LANDED HOUSING DEVELOPMENT,EAST COAST TERRACE,Terrace,999,15.0,OCR,Resale,1.0,4350000.0,-,2156.0,Land,-,2018.0,Jan-2017
2454,LANDED HOUSING DEVELOPMENT,DUKU ROAD,Semi-detached,999,15.0,RCR,Resale,1.0,4350000.0,-,3352.0,Land,-,1298.0,Aug-2019
2455,SERANGOON GARDEN ESTATE,BORTHWICK DRIVE,Semi-detached,933,19.0,OCR,Resale,1.0,4350000.0,-,2800.0,Land,-,1554.0,Apr-2021
2456,SERANGOON GARDEN ESTATE,BROCKHAMPTON DRIVE,Semi-detached,933,19.0,OCR,Resale,1.0,4350000.0,-,2800.0,Land,-,1554.0,May-2019
2457,TOH ESTATE,TOH DRIVE,Detached,999,17.0,OCR,Resale,1.0,4350000.0,-,6764.0,Land,-,643.0,Dec-2019
2458,OPERA ESTATE,CARMEN STREET,Terrace,999,15.0,OCR,Resale,1.0,4350000.0,-,2761.0,Land,-,1576.0,Jul-2020
2459,THE GREENWOOD,GREENWOOD LANE,Terrace,999,11.0,CCR,Resale,1.0,4350000.0,-,1615.0,Land,-,2694.0,Sep-2021
2460,THE GREENWOOD,GREENWOOD AVENUE,Terrace,999,11.0,CCR,Resale,1.0,4350000.0,-,1628.0,Land,-,2673.0,Apr-2019
2461,LANDED HOUSING DEVELOPMENT,GREENBANK PARK,Semi-detached,999,21.0,RCR,Resale,1.0,4350000.0,-,2647.0,Land,-,1643.0,Feb-2021
2462,LANDED HOUSING DEVELOPMENT,JALAN KECHOT,Terrace,999,14.0,OCR,Resale,1.0,4350000.0,-,4322.0,Land,-,1007.0,Apr-2021
2463,LANDED HOUSING DEVELOPMENT,JUBILEE ROAD,Semi-detached,999,5.0,OCR,Resale,1.0,4350000.0,-,3077.0,Land,-,1414.0,Aug-2020
2464,LANDED HOUSING DEVELOPMENT,JALAN POKOK SERUNAI,Semi-detached,999,16.0,OCR,Resale,1.0,4350000.0,-,3643.0,Land,-,1194.0,May-2021
2465,LANDED HOUSING DEVELOPMENT,LORONG MARZUKI,Semi-detached,999,14.0,OCR,Resale,1.0,4350000.0,-,3871.0,Land,-,1124.0,Jul-2021
2466,BEDOK PESARI,JALAN GREJA,Semi-detached,999,16.0,OCR,Resale,1.0,4345000.0,-,3648.0,Land,-,1191.0,Apr-2021
2467,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,Semi-detached,91,10.0,CCR,New Sale,1.0,4340000.0,-,2677.0,Land,-,1621.0,Jul-2017
2468,LANDED HOUSING DEVELOPMENT,SIXTH AVENUE,Terrace,999,10.0,CCR,Resale,1.0,4325000.0,-,2232.0,Land,-,1937.0,Feb-2018
2469,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,Semi-detached,91,10.0,CCR,New Sale,1.0,4320000.0,-,2336.0,Land,-,1849.0,Aug-2017
2470,WOODLANDS PARK,JALAN BUMBONG,Semi-detached,999,25.0,OCR,Resale,1.0,4320000.0,-,5481.0,Land,-,788.0,Jun-2021
2471,BOUTIQUE @ KOVAN,LOWLAND ROAD,Semi-detached,999,19.0,OCR,Resale,1.0,4320000.0,-,4155.0,Land,-,1040.0,Jul-2020
2472,SERANGOON GARDEN ESTATE,COLCHESTER GROVE,Terrace,934,19.0,OCR,Resale,1.0,4320000.0,-,2644.0,Land,-,1634.0,Feb-2020
2473,LANDED HOUSING DEVELOPMENT,WOO MON CHEW ROAD,Semi-detached,999,15.0,OCR,Resale,1.0,4318000.0,-,2510.0,Land,-,1720.0,Sep-2020
2474,LANDED HOUSING DEVELOPMENT,THAM SOONG AVENUE,Semi-detached,999,21.0,RCR,Resale,1.0,4310000.0,-,3200.0,Land,-,1347.0,May-2019
2475,SENNETT ESTATE,PHENG GECK AVENUE,Semi-detached,999,13.0,RCR,Resale,1.0,4308888.0,-,2829.0,Land,-,1523.0,Sep-2021
2476,WELLINGTON PARK,ELLINGTON SQUARE,Semi-detached,999,20.0,OCR,Resale,1.0,4308000.0,-,3225.0,Land,-,1336.0,Dec-2020
2477,FABER GARDEN,JALAN GENDANG,Semi-detached,999,20.0,RCR,Resale,1.0,4300000.0,-,3139.0,Land,-,1370.0,Apr-2021
2478,LANDED HOUSING DEVELOPMENT,LUCKY RISE,Semi-detached,999,16.0,OCR,Resale,1.0,4300000.0,-,3260.0,Land,-,1319.0,Feb-2021
2479,SERANGOON GARDEN ESTATE,PORTCHESTER AVENUE,Terrace,931,19.0,OCR,Resale,1.0,4300000.0,-,2535.0,Land,-,1696.0,Aug-2018
2480,WINDSOR PARK ESTATE,WINDSOR PARK ROAD,Terrace,999,20.0,RCR,Resale,1.0,4300000.0,-,3192.0,Land,-,1347.0,Oct-2021
2481,SEASIDE PARK,JALAN BULOH PERINDU,Terrace,999,15.0,OCR,Resale,1.0,4300000.0,-,2447.0,Land,-,1757.0,Feb-2018
2482,SELETAR HILLS ESTATE,JALAN JARAK,Semi-detached,857,28.0,OCR,Resale,1.0,4300000.0,-,5181.0,Land,-,830.0,Jul-2017
2483,LANDED HOUSING DEVELOPMENT,LORONG MARICAN,Semi-detached,999,14.0,OCR,Resale,1.0,4300000.0,-,2820.0,Land,-,1525.0,Apr-2021
2484,THE SPRINGSIDE,SPRINGSIDE VIEW,Terrace,999,26.0,OCR,Resale,1.0,4300000.0,-,3370.0,Land,-,1276.0,Oct-2021
2485,LANDED HOUSING DEVELOPMENT,LORONG SELANGAT,Terrace,999,13.0,OCR,Sub Sale,1.0,4300000.0,-,2672.0,Land,-,1610.0,Jan-2020
2486,FRANKEL ESTATE,GREENFIELD DRIVE,Semi-detached,999,15.0,OCR,Resale,1.0,4300000.0,-,2819.0,Land,-,1525.0,Jan-2020
2487,THE SPRINGSIDE,SPRINGSIDE VIEW,Terrace,999,26.0,OCR,Resale,1.0,4300000.0,-,3389.0,Land,-,1269.0,Sep-2021
2488,LANDED HOUSING DEVELOPMENT,SHREWSBURY ROAD,Detached,999,11.0,CCR,Resale,1.0,4300000.0,-,3784.0,Land,-,1136.0,Sep-2021
2489,SEMBAWANG HILLS ESTATE,JALAN CHENGAM,Detached,999,20.0,OCR,Resale,1.0,4300000.0,-,5552.0,Land,-,774.0,Oct-2019
2490,OPERA ESTATE,FIGARO STREET,Terrace,999,15.0,OCR,Resale,1.0,4300000.0,-,1520.0,Land,-,2829.0,Sep-2021
2491,CHENG SOON GARDEN,CHENG SOON GARDEN,Semi-detached,999,21.0,RCR,Resale,1.0,4300000.0,-,4145.0,Land,-,1037.0,May-2017
2492,LANDED HOUSING DEVELOPMENT,JALAN PARI BURONG,Semi-detached,999,16.0,OCR,Resale,1.0,4300000.0,-,4092.0,Land,-,1051.0,Mar-2021
2493,CAYMAN RESIDENCES,EAST COAST AVENUE,Terrace,999,15.0,OCR,New Sale,1.0,4300000.0,-,1744.0,Land,-,2466.0,Oct-2019
2494,LANDED HOUSING DEVELOPMENT,LORONG H TELOK KURAU,Semi-detached,999,15.0,OCR,Resale,1.0,4300000.0,-,4562.0,Land,-,943.0,Sep-2017
2495,LANDED HOUSING DEVELOPMENT,LORONG MARICAN,Semi-detached,999,14.0,OCR,Resale,1.0,4300000.0,-,2588.0,Land,-,1662.0,Oct-2021
2496,LANDED HOUSING DEVELOPMENT,YUK TONG AVENUE,Semi-detached,999,21.0,RCR,Resale,1.0,4300000.0,-,2349.0,Land,-,1831.0,May-2017
2497,LANDED HOUSING DEVELOPMENT,JALAN TENON,Detached,999,19.0,OCR,Resale,1.0,4300000.0,-,4287.0,Land,-,1003.0,Jan-2018
2498,PASIR RIS BEACH PARK,PASIR RIS AVENUE,Semi-detached,852,18.0,OCR,Resale,1.0,4300000.0,-,4007.0,Land,-,1073.0,Jan-2021
2499,KISMIS RESIDENCES,ENG KONG TERRACE,Terrace,999,21.0,RCR,New Sale,1.0,4300000.0,-,2174.0,Land,-,1978.0,May-2018
2500,YEW LIAN PARK,TAMAN PERMATA,Semi-detached,999,20.0,RCR,Resale,1.0,4300000.0,-,3763.0,Land,-,1143.0,Sep-2020
2501,LANDED HOUSING DEVELOPMENT,JALAN KAYU MANIS,Terrace,999,9.0,CCR,Resale,1.0,4300000.0,-,1650.0,Land,-,2606.0,Jul-2021
2502,PICARDY GARDENS,JALAN PARI BURONG,Semi-detached,999,16.0,OCR,Resale,1.0,4300000.0,-,4062.0,Land,-,1059.0,Apr-2018
2503,SPRINGLEAF GARDEN,SPRINGLEAF DRIVE,Semi-detached,999,26.0,OCR,Resale,1.0,4300000.0,-,3550.0,Land,-,1211.0,May-2021
2504,SPRING PARK ESTATE,PRIMROSE AVENUE,Terrace,999,16.0,OCR,Resale,1.0,4300000.0,-,2108.0,Land,-,2040.0,Jul-2021
2505,LANDED HOUSING DEVELOPMENT,JALAN RIA,Semi-detached,999,13.0,OCR,Resale,1.0,4300000.0,-,3861.0,Land,-,1114.0,May-2021
2506,LANDED HOUSING DEVELOPMENT,RAMBAI ROAD,Terrace,999,15.0,RCR,Resale,1.0,4300000.0,-,2659.0,Land,-,1617.0,Mar-2020
2507,LANDED HOUSING DEVELOPMENT,KANG CHOO BIN ROAD,Terrace,861,19.0,OCR,Resale,1.0,4300000.0,-,2678.0,Land,-,1606.0,Aug-2021
2508,LANDED HOUSING DEVELOPMENT,MANGIS ROAD,Terrace,999,15.0,RCR,Resale,1.0,4300000.0,-,2539.0,Land,-,1693.0,Mar-2021
2509,HOLLAND GREEN,HOLLAND GREEN,Detached,73,10.0,CCR,Resale,1.0,4300000.0,-,4951.0,Land,-,868.0,Jun-2021
2510,LANDED HOUSING DEVELOPMENT,FABER WALK,Semi-detached,999,5.0,OCR,Resale,1.0,4300000.0,-,3638.0,Land,-,1182.0,Jan-2021
